Cancer	Gene	cnv	N.cells.with.cnv
BRCA	ANKRD26	Loss	4390
BRCA	YME1L1	Gain	4903
BRCA	YME1L1	Loss	4390
BRCA	ACBD5	Gain	4903
BRCA	ACBD5	Loss	4390
BRCA	RAB18	Gain	4903
BRCA	RAB18	Loss	4390
BRCA	WAC-AS1	Gain	4843
BRCA	WAC-AS1	Loss	1827
BRCA	WAC	Gain	4903
BRCA	WAC	Loss	4390
BRCA	ZNF438	Gain	4903
BRCA	ZNF438	Loss	5500
BRCA	ARHGAP12	Gain	4903
BRCA	ARHGAP12	Loss	5500
BRCA	KIF5B	Gain	4903
BRCA	KIF5B	Loss	5500
BRCA	EPC1	Gain	4903
BRCA	EPC1	Loss	5500
BRCA	CCDC7	Gain	4903
BRCA	CCDC7	Loss	5500
BRCA	ITGB1	Gain	4903
BRCA	ITGB1	Loss	5500
BRCA	PARD3	Gain	4903
BRCA	PARD3	Loss	5500
BRCA	CUL2	Gain	4903
BRCA	CUL2	Loss	5500
BRCA	CCNY	Gain	4903
BRCA	CCNY	Loss	5500
BRCA	ANKRD30A	Gain	1654
BRCA	ANKRD30A	Loss	2937
BRCA	AL157387.1	Gain	1594
BRCA	AL157387.1	Loss	972
BRCA	ZNF248	Gain	4903
BRCA	ZNF248	Loss	5500
BRCA	ZNF33A	Gain	4903
BRCA	ZNF33A	Loss	5500
BRCA	ZNF37A	Gain	4903
BRCA	ZNF37A	Loss	5500
BRCA	ZNF33B	Gain	4903
BRCA	ZNF33B	Loss	5500
BRCA	BMS1	Gain	3309
BRCA	BMS1	Loss	5500
BRCA	CSGALNACT2	Gain	3309
BRCA	CSGALNACT2	Loss	5500
BRCA	HNRNPF	Gain	3309
BRCA	HNRNPF	Loss	5500
BRCA	MARCH8	Gain	1263
BRCA	MARCH8	Loss	5500
BRCA	ZFAND4	Gain	1203
BRCA	WASHC2C	Gain	638
BRCA	WASHC2C	Loss	5500
BRCA	MAPK8	Gain	638
BRCA	MAPK8	Loss	5500
BRCA	ERCC6	Loss	5500
BRCA	PARG	Loss	5500
BRCA	WASHC2A	Loss	3535
BRCA	SGMS1	Loss	5500
BRCA	PRKG1	Loss	5500
BRCA	IPMK	Loss	4528
BRCA	CCDC6	Loss	4717
BRCA	JMJD1C	Loss	6305
BRCA	REEP3	Loss	5450
BRCA	LINC01515	Loss	2887
BRCA	CTNNA3	Loss	1588
BRCA	DNAJC12	Loss	189
BRCA	SIRT1	Loss	6088
BRCA	HERC4	Loss	8217
BRCA	HNRNPH3	Loss	7652
BRCA	RUFY2	Loss	7652
BRCA	SLC25A16	Loss	9329
BRCA	TET1	Loss	9329
BRCA	CCAR1	Loss	9329
BRCA	DDX50	Loss	9329
BRCA	DDX21	Loss	9329
BRCA	VPS26A	Loss	10352
